,gene_name,ensembl_gene_id,chromosome,Source,Start,Strand,gene_source,gene_biotype,gene_length,gene_coding_length,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,gene_include,n_cells,pct_cells
TOE1,TOE1,ENSG00000132773,1,ensembl_havana,45339669,+,ensembl_havana,protein_coding,4306,2742,TOE1,"target of EGR1, exonuclease",Approved,nan,hCaf1z,True,1475,0.7053164121151841
TESK2,TESK2,ENSG00000070759,1,ensembl_havana,45343882,-,ensembl_havana,protein_coding,147284,3322,TESK2,testis associated actin remodelling kinase 2,Approved,nan,nan,True,22219,10.624695159855781
CCDC163P,CCDC163P,ENSG00000280670,1,havana,45493865,-,havana,protein_coding,6214,2757,CCDC163,coiled-coil domain containing 163,Approved,"C1orf231, CCDC163P",LOC126661,True,627,0.2998192477262512
MMACHC,MMACHC,ENSG00000132763,1,ensembl_havana,45500052,+,ensembl_havana,protein_coding,13330,5296,MMACHC,metabolism of cobalamin associated C,Approved,nan,"DKFZP564I122, cblC",True,1660,0.7937798265160716
PRDX1,PRDX1,ENSG00000117450,1,ensembl_havana,45511035,-,ensembl_havana,protein_coding,12012,1522,PRDX1,peroxiredoxin 1,Approved,PAGA,NKEFA,True,12428,5.942828725266107
AKR1A1,AKR1A1,ENSG00000117448,1,ensembl_havana,45550542,+,ensembl_havana,protein_coding,19507,3121,AKR1A1,aldo-keto reductase family 1 member A1,Approved,nan,"ALR, DD3",True,16719,7.994701758748314
NASP,NASP,ENSG00000132780,1,ensembl_havana,45583845,+,ensembl_havana,protein_coding,35059,8304,NASP,nuclear autoantigenic sperm protein,Approved,nan,"FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999",True,14013,6.700745005403441
CCDC17,CCDC17,ENSG00000159588,1,ensembl_havana,45620043,-,ensembl_havana,protein_coding,4014,3323,CCDC17,coiled-coil domain containing 17,Approved,nan,FLJ33084,True,1038,0.4963514818817364
GPBP1L1,GPBP1L1,ENSG00000159592,1,ensembl_havana,45627303,-,ensembl_havana,protein_coding,60810,7433,GPBP1L1,GC-rich promoter binding protein 1 like 1,Approved,nan,SP192,True,37643,18.00015301779788
TMEM69,TMEM69,ENSG00000159596,1,ensembl_havana,45687213,+,ensembl_havana,protein_coding,7230,2439,TMEM69,transmembrane protein 69,Approved,C1orf154,FLJ21029,True,4813,2.3014833162782247
IPP,IPP,ENSG00000197429,1,ensembl_havana,45694323,-,ensembl_havana,protein_coding,56327,3705,IPP,intracisternal A particle-promoted polypeptide,Approved,nan,KLHL27,True,9558,4.570450350506393
MAST2,MAST2,ENSG00000086015,1,ensembl_havana,45786986,+,ensembl_havana,protein_coding,249138,7877,MAST2,microtubule associated serine/threonine kinase 2,Approved,nan,"MAST205, KIAA0807",True,39481,18.87904899438616
PIK3R3,PIK3R3,ENSG00000117461,1,ensembl_havana,46040139,-,ensembl_havana,protein_coding,92897,7410,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,Approved,nan,p55,True,2457,1.1748897793674626
PIK3R3-1,PIK3R3,ENSG00000278139,1,havana,46043660,-,havana,protein_coding,132828,1553,P3R3URF-PIK3R3,P3R3URF-PIK3R3 readthrough,Approved,nan,nan,True,1393,0.6661056014077638
TSPAN1,TSPAN1,ENSG00000117472,1,ensembl_havana,46175072,+,ensembl_havana,protein_coding,10886,2366,TSPAN1,tetraspanin 1,Approved,nan,"TSPAN-1, NET-1",True,6017,2.877212780811568
POMGNT1,POMGNT1,ENSG00000085998,1,ensembl_havana,46188681,-,ensembl_havana,protein_coding,31624,6198,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",Approved,MEB,"FLJ20277, MGAT1.2, LGMD2O",True,10132,4.844926025458336
LURAP1,LURAP1,ENSG00000171357,1,ensembl_havana,46203333,+,ensembl_havana,protein_coding,17928,1854,LURAP1,leucine rich adaptor protein 1,Approved,C1orf190,"FLJ25163, LRAP35a",True,3790,1.8123045436722358
RAD54L,RAD54L,ENSG00000085999,1,ensembl_havana,46247687,+,ensembl_havana,protein_coding,30786,3212,RAD54L,RAD54 like,Approved,nan,"hHR54, hRAD54, RAD54A",True,2445,1.1691516119468646
LRRC41,LRRC41,ENSG00000132128,1,ensembl_havana,46261195,-,ensembl_havana,protein_coding,42413,8606,LRRC41,leucine rich repeat containing 41,Approved,nan,MUF1,True,13382,6.399013035203657
UQCRH,UQCRH,ENSG00000173660,1,ensembl_havana,46303630,+,ensembl_havana,protein_coding,13146,1408,UQCRH,ubiquinol-cytochrome c reductase hinge protein,Approved,nan,"QCR6, UQCR8",True,11928,5.703738416074519
NSUN4,NSUN4,ENSG00000117481,1,ensembl_havana,46340176,+,ensembl_havana,protein_coding,24976,8468,NSUN4,NOP2/Sun RNA methyltransferase 4,Approved,nan,"MGC22960, SHTAP",True,9937,4.751680804873617
FAAH,FAAH,ENSG00000117480,1,ensembl_havana,46394264,+,ensembl_havana,protein_coding,19584,2776,FAAH,fatty acid amide hydrolase,Approved,nan,FAAH-1,True,5641,2.697416868299494
DMBX1,DMBX1,ENSG00000197587,1,ensembl_havana,46506995,+,ensembl_havana,protein_coding,7231,2896,DMBX1,diencephalon/mesencephalon homeobox 1,Approved,OTX3,PAXB,True,19,0.009085431749280339
KNCN,KNCN,ENSG00000162456,1,ensembl_havana,46545643,-,ensembl_havana,protein_coding,5884,2810,KNCN,kinocilin,Approved,nan,"FLJ32011, KINO, L5",True,9,0.004303625565448581
MKNK1,MKNK1,ENSG00000079277,1,ensembl_havana,46557407,-,ensembl_havana,protein_coding,59436,8070,MKNK1,MAPK interacting serine/threonine kinase 1,Approved,nan,MNK1,True,25629,12.25529106854241
ATPAF1,ATPAF1,ENSG00000123472,1,ensembl_havana,46632736,-,ensembl_havana,protein_coding,41131,5677,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,Approved,nan,"FLJ22351, Atp11p, ATP11",True,9655,4.616833870489561
TEX38,TEX38,ENSG00000186118,1,ensembl_havana,46668854,+,ensembl_havana,protein_coding,4740,1490,TEX38,testis expressed 38,Approved,"C1orf223, ATPAF1-AS1","LOC374973, THEG4",True,45,0.021518127827242908
EFCAB14,EFCAB14,ENSG00000159658,1,ensembl_havana,46675158,-,ensembl_havana,protein_coding,43906,6285,EFCAB14,EF-hand calcium binding domain 14,Approved,KIAA0494,nan,True,15512,7.417537752359821
CYP4B1,CYP4B1,ENSG00000142973,1,ensembl_havana,46757837,+,ensembl_havana,protein_coding,61576,3460,CYP4B1,cytochrome P450 family 4 subfamily B member 1,Approved,nan,nan,True,14411,6.8910608915199445
CYP4A11,CYP4A11,ENSG00000187048,1,ensembl_havana,46929176,-,ensembl_havana,protein_coding,12308,3890,CYP4A11,cytochrome P450 family 4 subfamily A member 11,Approved,CYP4A2,CYP4AII,True,73,0.034907185141971823
CYP4X1,CYP4X1,ENSG00000186377,1,ensembl_havana,47023567,+,ensembl_havana,protein_coding,27184,2548,CYP4X1,cytochrome P450 family 4 subfamily X member 1,Approved,nan,MGC40051,True,8024,3.836921281906602
CYP4Z1,CYP4Z1,ENSG00000186160,1,ensembl_havana,47067487,+,ensembl_havana,protein_coding,50832,1996,CYP4Z1,cytochrome P450 family 4 subfamily Z member 1,Approved,nan,CYP4A20,True,7047,3.369738817746239
CYP4A22,CYP4A22,ENSG00000162365,1,ensembl_havana,47137434,+,ensembl_havana,protein_coding,12307,3859,CYP4A22,cytochrome P450 family 4 subfamily A member 22,Approved,nan,nan,True,39,0.01864904411694385
PDZK1IP1,PDZK1IP1,ENSG00000162366,1,ensembl_havana,47183592,-,ensembl_havana,protein_coding,7452,1438,PDZK1IP1,PDZK1 interacting protein 1,Approved,nan,"DD96, MAP17, SPAP",True,2039,0.9750102808832952
TAL1,TAL1,ENSG00000162367,1,ensembl_havana,47216289,-,ensembl_havana,protein_coding,15931,5700,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor",Approved,TCL5,"SCL, bHLHa17",True,1521,0.7273127205608102
STIL,STIL,ENSG00000123473,1,ensembl_havana,47250138,-,ensembl_havana,protein_coding,64009,7291,STIL,STIL centriolar assembly protein,Approved,SIL,MCPH7,True,2784,1.331254841578761
CMPK1,CMPK1,ENSG00000162368,1,ensembl_havana,47333796,+,ensembl_havana,protein_coding,45043,3844,CMPK1,cytidine/uridine monophosphate kinase 1,Approved,CMPK,UMP-CMPK,True,14574,6.969004332316403
FOXD2,FOXD2,ENSG00000186564,1,ensembl_havana,47436016,+,ensembl_havana,protein_coding,4675,4675,FOXD2,forkhead box D2,Approved,FKHL17,FREAC9,True,86,0.04112353318095311
TRABD2B,TRABD2B,ENSG00000269113,1,ensembl_havana,47760527,-,ensembl_havana,protein_coding,236368,7034,TRABD2B,TraB domain containing 2B,Approved,nan,TIKI2,True,5537,2.6476860839876437
AL356289.1,AL356289.1,ENSG00000279096,1,ensembl,48102067,+,ensembl,protein_coding,2640,2640,nan,nan,nan,nan,nan,True,15,0.007172709275747635
SLC5A9,SLC5A9,ENSG00000117834,1,ensembl_havana,48222684,+,ensembl_havana,protein_coding,25960,4535,SLC5A9,solute carrier family 5 member 9,Approved,nan,SGLT4,True,6837,3.269320887885772
SPATA6,SPATA6,ENSG00000132122,1,ensembl_havana,48295371,-,ensembl_havana,protein_coding,176837,5939,SPATA6,spermatogenesis associated 6,Approved,nan,"SRF1, FLJ10007, SRF-1",True,40865,19.540850970228476
AGBL4,AGBL4,ENSG00000186094,1,ensembl_havana,48532854,-,ensembl_havana,protein_coding,1491059,7462,AGBL4,ATP/GTP binding protein like 4,Approved,nan,"FLJ14442, CCP6",True,18174,8.690454558495835
ELAVL4,ELAVL4,ENSG00000162374,1,ensembl_havana,50048013,+,ensembl_havana,protein_coding,155773,6963,ELAVL4,ELAV like RNA binding protein 4,Approved,HUD,PNEM,True,1585,0.7579162801373335
DMRTA2,DMRTA2,ENSG00000142700,1,ensembl_havana,50417549,-,ensembl_havana,protein_coding,5951,3225,DMRTA2,DMRT like family A2,Approved,nan,nan,True,141,0.06742346719202777
FAF1,FAF1,ENSG00000185104,1,ensembl_havana,50437027,-,ensembl_havana,protein_coding,523236,7545,FAF1,Fas associated factor 1,Approved,nan,"CGI-03, hFAF1, HFAF1s, UBXD12, UBXN3A",True,83464,39.91086713273338
CDKN2C,CDKN2C,ENSG00000123080,1,ensembl_havana,50960744,+,ensembl_havana,protein_coding,13889,3318,CDKN2C,cyclin dependent kinase inhibitor 2C,Approved,nan,"INK4C, p18",True,1500,0.7172709275747635
C1orf185,C1orf185,ENSG00000204006,1,ensembl_havana,51102233,+,ensembl_havana,protein_coding,45853,1105,C1orf185,chromosome 1 open reading frame 185,Approved,nan,FLJ27485,True,418,0.19987949848416744
RNF11,RNF11,ENSG00000123091,1,ensembl_havana,51236270,+,ensembl_havana,protein_coding,37185,3122,RNF11,ring finger protein 11,Approved,nan,"CGI-123, Sid1669p, MGC51169",True,14020,6.704092269732123
TTC39A,TTC39A,ENSG00000085831,1,ensembl_havana,51287257,-,ensembl_havana,protein_coding,57859,9362,TTC39A,tetratricopeptide repeat domain 39A,Approved,C1orf34,"KIAA0452, DEME-6",True,7360,3.519409351300173
EPS15,EPS15,ENSG00000085832,1,ensembl_havana,51354262,-,ensembl_havana,protein_coding,165066,7440,EPS15,epidermal growth factor receptor pathway substrate 15,Approved,nan,"AF-1P, MLLT5",True,61684,29.49609326434781
OSBPL9,OSBPL9,ENSG00000117859,1,ensembl_havana,51577178,+,ensembl_havana,protein_coding,221249,9523,OSBPL9,oxysterol binding protein like 9,Approved,nan,nan,True,57376,27.43609116035309
NRDC,NRDC,ENSG00000078618,1,ensembl_havana,51789190,-,ensembl_havana,protein_coding,89747,6773,NRDC,nardilysin convertase,Approved,NRD1,"hNRD1, hNRD2",True,55090,26.34297026672915
RAB3B,RAB3B,ENSG00000169213,1,ensembl_havana,51907955,-,ensembl_havana,protein_coding,82809,12844,RAB3B,"RAB3B, member RAS oncogene family",Approved,nan,nan,True,3689,1.7640083012155352
TXNDC12,TXNDC12,ENSG00000117862,1,ensembl_havana,52020130,-,ensembl_havana,protein_coding,36041,3630,TXNDC12,thioredoxin domain containing 12,Approved,nan,"TLP19, ERP18, ERP19, hAG-1, AGR1, PDIA16",True,10090,4.824842439486242
BTF3L4,BTF3L4,ENSG00000134717,1,ensembl_havana,52056124,+,ensembl_havana,protein_coding,34592,6022,BTF3L4,basic transcription factor 3 like 4,Approved,nan,MGC23908,True,13002,6.21730440021805
ZFYVE9,ZFYVE9,ENSG00000157077,1,ensembl_havana,52142093,+,ensembl_havana,protein_coding,204593,5809,ZFYVE9,zinc finger FYVE-type containing 9,Approved,MADHIP,"SMADIP, SARA, PPP1R173",True,31638,15.128678404406912
CC2D1B,CC2D1B,ENSG00000154222,1,ensembl_havana,52345722,-,ensembl_havana,protein_coding,20471,7495,CC2D1B,coiled-coil and C2 domain containing 1B,Approved,nan,"KIAA1836, Freud-2",True,4911,2.348345016879776
ORC1,ORC1,ENSG00000085840,1,ensembl_havana,52372828,-,ensembl_havana,protein_coding,31631,3157,ORC1,origin recognition complex subunit 1,Approved,ORC1L,"HSORC1, PARC1",True,2566,1.2270114667712289
PRPF38A,PRPF38A,ENSG00000134748,1,ensembl_havana,52404563,+,ensembl_havana,protein_coding,16276,5658,PRPF38A,pre-mRNA processing factor 38A,Approved,nan,"FLJ14936, Prp38",True,6651,3.1803792928665016
ZCCHC11,ZCCHC11,ENSG00000134744,1,ensembl_havana,52408281,-,ensembl_havana,protein_coding,145206,16199,TUT4,terminal uridylyl transferase 4,Approved,ZCCHC11,"KIAA0191, PAPD3, TENT3A",True,50826,24.304008109943286
GPX7,GPX7,ENSG00000116157,1,ensembl_havana,52602371,+,ensembl_havana,protein_coding,6680,1691,GPX7,glutathione peroxidase 7,Approved,nan,"FLJ14777, GPX6, NPGPx",True,1419,0.6785382974857264
FAM159A,FAM159A,ENSG00000182183,1,ensembl_havana,52633343,+,ensembl_havana,protein_coding,36340,2508,SHISAL2A,shisa like 2A,Approved,FAM159A,MGC52498,True,2543,1.2160133125484158
COA7,COA7,ENSG00000162377,1,ensembl_havana,52684450,-,ensembl_havana,protein_coding,13916,4165,COA7,cytochrome c oxidase assembly factor 7,Approved,"C1orf163, SELRC1","FLJ12439, RESA1",True,2022,0.9668812103707812
ZYG11B,ZYG11B,ENSG00000162378,1,ensembl_havana,52726466,+,ensembl_havana,protein_coding,100876,8198,ZYG11B,"zyg-11 family member B, cell cycle regulator",Approved,ZYG11,FLJ13456,True,21288,10.179509004141044
ZYG11A,ZYG11A,ENSG00000203995,1,ensembl_havana,52842510,+,ensembl_havana,protein_coding,52488,4694,ZYG11A,"zyg-11 family member A, cell cycle regulator",Approved,nan,ZYG11,True,2397,1.146198942264472
ECHDC2,ECHDC2,ENSG00000121310,1,ensembl_havana,52895909,-,ensembl_havana,protein_coding,31303,11572,ECHDC2,enoyl-CoA hydratase domain containing 2,Approved,nan,FLJ10948,True,55335,26.460124518233027
SCP2,SCP2,ENSG00000116171,1,ensembl_havana,52927228,+,ensembl_havana,protein_coding,124475,8305,SCP2,sterol carrier protein 2,Approved,nan,nan,True,21575,10.316746841617016
PODN,PODN,ENSG00000174348,1,ensembl_havana,53062051,+,ensembl_havana,protein_coding,23451,4900,PODN,podocan,Approved,nan,"PCAN, PODOCAN, MGC24995, SLRR5A",True,8013,3.8316612951043867
SLC1A7,SLC1A7,ENSG00000162383,1,ensembl_havana,53087178,-,ensembl_havana,protein_coding,55454,5407,SLC1A7,solute carrier family 1 member 7,Approved,nan,EAAT5,True,563,0.2692156881497279
CPT2,CPT2,ENSG00000157184,1,ensembl_havana,53196428,+,ensembl_havana,protein_coding,17769,3401,CPT2,carnitine palmitoyltransferase 2,Approved,CPT1,CPTASE,True,3134,1.4986180580128725
C1orf123,C1orf123,ENSG00000162384,1,ensembl_havana,53214098,-,ensembl_havana,protein_coding,6519,4487,CZIB,CXXC motif containing zinc binding protein,Approved,C1orf123,FLJ20580,True,5336,2.5515717796926256
MAGOH,MAGOH,ENSG00000162385,1,ensembl_havana,53226891,-,ensembl_havana,protein_coding,11719,1463,MAGOH,"mago homolog, exon junction complex subunit",Approved,nan,"MAGOHA, MAGOH1",True,5593,2.674464198617102
LRP8,LRP8,ENSG00000157193,1,ensembl_havana,53242363,-,ensembl_havana,protein_coding,85707,10258,LRP8,LDL receptor related protein 8,Approved,nan,"APOER2, MCI1, LRP-8, HSZ75190",True,2898,1.385767432074443
DMRTB1,DMRTB1,ENSG00000143006,1,ensembl_havana,53459398,+,ensembl_havana,protein_coding,8090,2440,DMRTB1,DMRT like family B with proline rich C-terminal 1,Approved,nan,nan,True,142,0.06790164781041094
GLIS1,GLIS1,ENSG00000174332,1,ensembl_havana,53506236,-,ensembl_havana,protein_coding,231870,3113,GLIS1,GLIS family zinc finger 1,Approved,nan,FLJ36155,True,2912,1.3924619607318076
NDC1,NDC1,ENSG00000058804,1,ensembl_havana,53765459,-,ensembl_havana,protein_coding,73401,5135,NDC1,NDC1 transmembrane nucleoporin,Approved,TMEM48,"FLJ10407, NET3",True,9038,4.321796428947142
YIPF1,YIPF1,ENSG00000058799,1,ensembl_havana,53851718,-,ensembl_havana,protein_coding,38116,2075,YIPF1,Yip1 domain family member 1,Approved,nan,"DJ167A19.1, FinGER1",True,7311,3.4959785009993976
DIO1,DIO1,ENSG00000211452,1,ensembl_havana,53891238,+,ensembl_havana,protein_coding,19848,2282,DIO1,iodothyronine deiodinase 1,Approved,TXDI1,nan,True,2190,1.0472155542591548
HSPB11,HSPB11,ENSG00000081870,1,ensembl_havana,53916573,-,ensembl_havana,protein_coding,29356,3236,HSPB11,heat shock protein family B (small) member 11,Approved,C1orf41,"HSPCO34, PP25, IFT25, FAP232",True,15039,7.191358319864579
LRRC42,LRRC42,ENSG00000116212,1,ensembl_havana,53946076,+,ensembl_havana,protein_coding,22092,2411,LRRC42,leucine rich repeat containing 42,Approved,nan,MGC8974,True,2367,1.1318535237129768
LDLRAD1,LDLRAD1,ENSG00000203985,1,ensembl_havana,54007298,-,ensembl_havana,protein_coding,10888,2375,LDLRAD1,low density lipoprotein receptor class A domain containing 1,Approved,nan,nan,True,413,0.19748859539225155
TMEM59,TMEM59,ENSG00000116209,1,ensembl_havana,54026680,-,ensembl_havana,protein_coding,26824,9149,TMEM59,transmembrane protein 59,Approved,C1orf8,HSPC001,True,24335,11.63652534835458
TCEANC2,TCEANC2,ENSG00000116205,1,ensembl_havana,54053586,+,ensembl_havana,protein_coding,58933,12165,TCEANC2,transcription elongation factor A N-terminal and central domain containing 2,Approved,C1orf83,FLJ32112,True,5313,2.5405736254698126
CDCP2,CDCP2,ENSG00000157211,1,ensembl_havana,54133073,-,ensembl_havana,protein_coding,20697,3123,CDCP2,CUB domain containing protein 2,Approved,nan,nan,True,39,0.01864904411694385
RP11-446E24.4,RP11-446E24.4,ENSG00000256407,1,havana,54141223,-,havana,protein_coding,58850,2684,nan,nan,nan,nan,nan,True,749,0.3581572831689986
SSBP3,SSBP3,ENSG00000157216,1,ensembl_havana,54225431,-,ensembl_havana,protein_coding,188048,5227,SSBP3,single stranded DNA binding protein 3,Approved,nan,"CSDP, SSDP, FLJ10355, SSDP1",True,30399,14.536212618230158
ACOT11,ACOT11,ENSG00000162390,1,ensembl_havana,54542256,+,ensembl_havana,protein_coding,96936,9768,ACOT11,acyl-CoA thioesterase 11,Approved,THEA,"STARD14, BFIT, KIAA0707, BFIT1, THEM1",True,17073,8.163977697655959
FAM151A,FAM151A,ENSG00000162391,1,ensembl_havana,54609181,-,ensembl_havana,protein_coding,14375,2005,FAM151A,family with sequence similarity 151 member A,Approved,C1orf179,MGC27169,True,3584,1.7137993362853017
MROH7-TTC4,MROH7-TTC4,ENSG00000271723,1,havana,54641785,+,havana,protein_coding,100523,7090,MROH7-TTC4,MROH7-TTC4 readthrough (NMD candidate),Approved,nan,nan,True,1376,0.6579765308952498
TTC4,TTC4,ENSG00000243725,1,ensembl_havana,54715821,+,ensembl_havana,protein_coding,26836,3527,TTC4,tetratricopeptide repeat domain 4,Approved,nan,"MGC5097, FLJ41930, CNS1",True,213,0.10185247171561643
PARS2,PARS2,ENSG00000162396,1,ensembl_havana,54756897,-,ensembl_havana,protein_coding,7617,2347,PARS2,"prolyl-tRNA synthetase 2, mitochondrial",Approved,nan,DKFZp727A071,True,677,0.32372827864540993
TTC22,TTC22,ENSG00000006555,1,ensembl_havana,54779711,-,ensembl_havana,protein_coding,21556,6055,TTC22,tetratricopeptide repeat domain 22,Approved,nan,FLJ20619,True,3199,1.5296997982077791
LEXM,LEXM,ENSG00000162398,1,ensembl_havana,54806062,+,ensembl_havana,protein_coding,36190,1777,LEXM,lymphocyte expansion molecule,Approved,C1orf177,"FLJ40201, LEM",True,1450,0.6933618966556048
DHCR24,DHCR24,ENSG00000116133,1,ensembl_havana,54849632,-,ensembl_havana,protein_coding,37586,4250,DHCR24,24-dehydrocholesterol reductase,Approved,DCE,"KIAA0018, seladin-1",True,13123,6.275164255042415
TMEM61,TMEM61,ENSG00000143001,1,ensembl_havana,54980791,+,ensembl_havana,protein_coding,11502,1097,TMEM61,transmembrane protein 61,Approved,nan,nan,True,319,0.15253961726423304
BSND,BSND,ENSG00000162399,1,ensembl_havana,54998932,+,ensembl_havana,protein_coding,11951,3472,BSND,barttin CLCNK type accessory subunit beta,Approved,DFNB73,BART,True,18,0.008607251130897163
PCSK9,PCSK9,ENSG00000169174,1,ensembl_havana,55039547,+,ensembl_havana,protein_coding,25305,4981,PCSK9,proprotein convertase subtilisin/kexin type 9,Approved,HCHOLA3,"NARC-1, FH3",True,836,0.3997589969683349
USP24,USP24,ENSG00000162402,1,ensembl_havana,55066358,-,ensembl_havana,protein_coding,148755,11772,USP24,ubiquitin specific peptidase 24,Approved,nan,KIAA1057,True,29513,14.112544590342663
PLPP3,PLPP3,ENSG00000162407,1,ensembl_havana,56494746,-,ensembl_havana,protein_coding,150555,5286,PLPP3,phospholipid phosphatase 3,Approved,PPAP2B,"PAP-2b, LPP3",True,36798,17.5960903952641
PRKAA2,PRKAA2,ENSG00000162409,1,ensembl_havana,56645321,+,ensembl_havana,protein_coding,70014,9354,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,Approved,PRKAA,"AMPK, AMPKa2",True,13888,6.6409724281055444
C1orf168,C1orf168,ENSG00000187889,1,ensembl_havana,56718803,-,ensembl_havana,protein_coding,100893,4633,FYB2,FYN binding protein 2,Approved,C1orf168,"RP4-758N20.2, FLJ43208, ARAP",True,10291,4.920956743781261
C8A,C8A,ENSG00000157131,1,ensembl_havana,56854805,+,ensembl_havana,protein_coding,63416,2356,C8A,complement C8 alpha chain,Approved,nan,nan,True,137,0.06551074471849506
C8B,C8B,ENSG00000021852,1,ensembl_havana,56929209,-,ensembl_havana,protein_coding,36931,2729,C8B,complement C8 beta chain,Approved,nan,nan,True,227,0.10854700037298089
DAB1,DAB1,ENSG00000173406,1,ensembl_havana,56994777,-,ensembl_havana,protein_coding,1551957,7548,DAB1,DAB adaptor protein 1,Approved,nan,nan,True,29473,14.093417365607337
TACSTD2,TACSTD2,ENSG00000184292,1,ensembl_havana,58575422,-,ensembl_havana,protein_coding,2351,2351,TACSTD2,tumor associated calcium signal transducer 2,Approved,M1S1,"TROP2, GA733-1, EGP-1",True,12687,6.06667750542735
MYSM1,MYSM1,ENSG00000162601,1,ensembl_havana,58654738,-,ensembl_havana,protein_coding,45354,8938,MYSM1,"Myb like, SWIRM and MPN domains 1",Approved,nan,KIAA1915,True,17687,8.45758059734323
JUN,JUN,ENSG00000177606,1,ensembl_havana,58780787,-,ensembl_havana,protein_coding,3540,3540,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",Approved,nan,"c-Jun, AP-1",True,20741,9.917944205885448
FGGY,FGGY,ENSG00000172456,1,ensembl_havana,59296637,+,ensembl_havana,protein_coding,514010,12174,FGGY,FGGY carbohydrate kinase domain containing,Approved,nan,FLJ10986,True,28187,13.478477090366573
HOOK1,HOOK1,ENSG00000134709,1,ensembl_havana,59814785,+,ensembl_havana,protein_coding,61593,6758,HOOK1,hook microtubule tethering protein 1,Approved,nan,HK1,True,4636,2.2168453468244027
CYP2J2,CYP2J2,ENSG00000134716,1,ensembl_havana,59893307,-,ensembl_havana,protein_coding,33483,2990,CYP2J2,cytochrome P450 family 2 subfamily J member 2,Approved,nan,nan,True,2761,1.320256687355948
C1orf87,C1orf87,ENSG00000162598,1,ensembl_havana,59987268,-,ensembl_havana,protein_coding,86502,4422,C1orf87,chromosome 1 open reading frame 87,Approved,nan,"MGC34837, CREF",True,1119,0.5350841119707735
NFIA,NFIA,ENSG00000162599,1,ensembl_havana,60865258,+,ensembl_havana,protein_coding,597535,10872,NFIA,nuclear factor I A,Approved,nan,"NFI-L, KIAA1439",True,104063,49.76090969080841
TM2D1,TM2D1,ENSG00000162604,1,ensembl_havana,61681045,-,ensembl_havana,protein_coding,44378,5516,TM2D1,TM2 domain containing 1,Approved,nan,BBP,True,22863,10.932643478094546
INADL,INADL,ENSG00000132849,1,ensembl_havana,61742476,+,ensembl_havana,protein_coding,436199,11867,PATJ,PATJ crumbs cell polarity complex component,Approved,INADL,Cipp,True,81147,38.80292263993956
L1TD1,L1TD1,ENSG00000240563,1,ensembl_havana,62194830,+,ensembl_havana,protein_coding,17498,3849,L1TD1,LINE1 type transposase domain containing 1,Approved,nan,"FLJ10884, ECAT11",True,794,0.3796754109962415
KANK4,KANK4,ENSG00000132854,1,ensembl_havana,62236978,-,ensembl_havana,protein_coding,82436,5980,KANK4,KN motif and ankyrin repeat domains 4,Approved,ANKRD38,KIAA0172,True,2511,1.200711532760154
USP1,USP1,ENSG00000162607,1,ensembl_havana,62436296,+,ensembl_havana,protein_coding,15508,4263,USP1,ubiquitin specific peptidase 1,Approved,nan,nan,True,4127,1.973451412067366
DOCK7,DOCK7,ENSG00000116641,1,ensembl_havana,62454725,-,ensembl_havana,protein_coding,233643,13888,DOCK7,dedicator of cytokinesis 7,Approved,nan,"KIAA1771, ZIR2",True,23743,11.35344242227174
ANGPTL3,ANGPTL3,ENSG00000132855,1,ensembl_havana,62597486,+,ensembl_havana,protein_coding,8673,3250,ANGPTL3,angiopoietin like 3,Approved,ANGPT5,nan,True,7,0.00334726432868223
ATG4C,ATG4C,ENSG00000125703,1,ensembl_havana,62784134,+,ensembl_havana,protein_coding,81379,3110,ATG4C,autophagy related 4C cysteine peptidase,Approved,"AUTL1, APG4C","FLJ14867, AUTL3",True,9731,4.653175597486682
FOXD3,FOXD3,ENSG00000187140,1,ensembl_havana,63323040,+,ensembl_havana,protein_coding,2086,2086,FOXD3,forkhead box D3,Approved,nan,"Genesis, HFH2",True,42,0.02008358597209338
ALG6,ALG6,ENSG00000088035,1,ensembl_havana,63367589,+,ensembl_havana,protein_coding,70973,4950,ALG6,"ALG6 alpha-1,3-glucosyltransferase",Approved,nan,nan,True,5799,2.772969406004036
ITGB3BP,ITGB3BP,ENSG00000142856,1,ensembl_havana,63440769,-,ensembl_havana,protein_coding,152952,5459,ITGB3BP,integrin subunit beta 3 binding protein,Approved,nan,"NRIF3, HSU37139, TAP20, CENPR",True,15727,7.520346585312204
EFCAB7,EFCAB7,ENSG00000203965,1,ensembl_havana,63523371,+,ensembl_havana,protein_coding,49322,5704,EFCAB7,EF-hand calcium binding domain 7,Approved,nan,"KIAA1799, RP4-534K7.1",True,9800,4.6861700601551215
PGM1,PGM1,ENSG00000079739,1,ensembl_havana,63593275,+,ensembl_havana,protein_coding,66970,4090,PGM1,phosphoglucomutase 1,Approved,nan,nan,True,19994,9.560743283953215
